index,Name,Team,PA,1Bw,2Bw,3Bw,HRw,uBBw,HBPw,SBw,CSw,wOBA,Unnamed: 12,Unnamed: 13
0,Andrew McCutchen,Pirates,648.0,91.88,48.75,9.81,53.38,52.36,7.22,3.6,-1.131,0.412,,
1,Victor Martinez,Tigers,641.0,109.72,42.34,0.00,68.32,28.94,2.89,0.6,-0.754,0.411,,
2,Jose Abreu,White Sox,622.0,91.88,44.91,3.27,76.86,24.80,7.94,0.6,-0.377,0.411,,
3,Giancarlo Stanton,Marlins,638.0,76.71,39.77,1.64,79.00,48.23,2.17,2.6,-0.377,0.403,,
4,Mike Trout,Angels,705.0,79.39,50.04,14.72,76.86,53.05,7.22,3.2,-0.754,0.402,,
5,Jose Bautista,Blue Jays,673.0,85.63,34.64,0.00,74.73,64.08,6.50,1.2,-0.754,0.402,,
6,Anthony Rizzo,Cubs,616.0,79.39,35.92,1.64,68.32,45.47,10.83,1,-1.508,0.397,,
7,Edwin Encarnacion,Blue Jays,542.0,57.98,34.64,3.27,72.59,38.58,1.44,0.4,0,0.389,,
8,Michael Brantley,Indians,676.0,118.64,57.74,3.27,42.70,33.07,5.78,4.6,-0.377,0.389,,
9,Miguel Cabrera,Tigers,685.0,100.80,66.72,1.64,53.38,34.45,2.17,0.2,-0.377,0.384,,
10,Adrian Beltre,Rangers,614.0,111.50,42.34,1.64,40.57,30.32,2.17,0.2,-0.377,0.38,,
11,Yasiel Puig,Dodgers,640.0,91.88,47.47,14.72,34.16,44.10,8.66,2.2,-2.639,0.379,,
12,Jayson Werth,Nationals,629.0,90.98,47.47,1.64,34.16,55.12,6.50,1.8,-0.377,0.377,,
13,Freddie Freeman,Braves,708.0,98.12,55.17,6.54,38.43,59.25,5.78,0.6,-1.508,0.374,,
14,Justin Morneau,Rockies,550.0,96.34,41.06,4.91,36.30,20.67,4.33,0,-1.131,0.373,,
15,Buster Posey,Giants,605.0,105.26,35.92,3.27,46.97,28.94,2.17,0,-0.377,0.371,,
16,Nelson Cruz,Orioles,678.0,82.06,41.06,3.27,85.40,32.38,3.61,0.8,-1.885,0.37,,
17,Matt Kemp,Dodgers,599.0,79.39,48.75,4.91,53.38,33.76,0.00,1.6,-1.885,0.369,,
18,David Ortiz,Red Sox,602.0,66.01,34.64,0.00,74.73,36.52,2.17,0,0,0.369,,
19,Jonathan Lucroy,Brewers,655.0,96.34,68.00,3.27,27.76,43.41,1.44,0.8,-1.508,0.368,,
20,Carlos Gomez,Brewers,644.0,90.98,43.62,6.54,49.11,32.38,13.72,6.8,-4.524,0.368,,
21,Josh Harrison,Pirates,550.0,94.55,48.75,11.45,27.76,14.47,2.89,3.6,-2.639,0.365,,
22,Justin Upton,Braves,641.0,78.50,43.62,3.27,61.92,40.65,4.33,1.6,-1.508,0.363,,
23,Jose Altuve,Astros,707.0,149.86,60.30,4.91,14.95,19.98,3.61,11.2,-3.393,0.363,,
24,Hanley Ramirez,Dodgers,512.0,70.47,44.91,0.00,27.76,37.21,4.33,2.8,-1.885,0.362,,
25,Lucas Duda,Mets,596.0,65.12,34.64,0.00,64.05,42.03,6.50,0.6,-0.754,0.361,,
26,Anthony Rendon,Nationals,683.0,98.12,50.04,9.81,44.84,38.58,3.61,3.4,-1.131,0.361,,
27,Robinson Cano,Mariners,665.0,119.53,47.47,3.27,29.89,28.25,4.33,2,-1.131,0.361,,
28,Matt Holliday,Cardinals,667.0,88.31,47.47,0.00,42.70,48.23,12.27,0.8,-0.377,0.36,,
29,Starling Marte,Pirates,545.0,85.63,37.21,9.81,27.76,22.74,12.27,6,-4.147,0.358,,
30,Seth Smith,Padres,521.0,62.44,39.77,8.18,25.62,45.47,2.89,0.2,-0.377,0.357,,
31,Adam LaRoche,Nationals,586.0,74.04,24.38,0.00,55.51,50.30,1.44,0.6,0,0.356,,
32,Neil Walker,Pirates,571.0,78.50,32.08,4.91,49.11,29.63,7.94,0.4,-0.754,0.356,,
33,Melky Cabrera,Blue Jays,621.0,104.36,44.91,4.91,34.16,27.56,2.17,1.2,-0.754,0.354,,
34,Carlos Santana,Indians,660.0,65.12,32.08,0.00,57.65,74.41,2.17,1,-0.754,0.353,,
35,Adrian Gonzalez,Dodgers,660.0,84.74,52.60,0.00,57.65,32.38,1.44,0.2,-0.377,0.351,,
36,Josh Donaldson,Athletics,695.0,82.96,39.77,3.27,61.92,48.92,5.05,1.6,0,0.351,,
37,Todd Frazier,Reds,660.0,99.01,28.23,1.64,61.92,34.45,5.05,4,-3.016,0.35,,
38,Dexter Fowler,Astros,505.0,77.60,26.94,6.54,17.08,44.10,2.17,2.2,-1.508,0.347,,
39,Kyle Seager,Mariners,654.0,90.98,34.64,6.54,53.38,33.76,5.78,1.4,-1.885,0.346,,
40,Alex Gordon,Royals,643.0,85.63,43.62,1.64,40.57,41.34,7.94,2.4,-1.131,0.346,,
41,Chris Carter,Astros,572.0,49.95,26.94,1.64,79.00,34.45,3.61,1,-0.754,0.346,,
42,Jhonny Peralta,Cardinals,628.0,78.50,48.75,0.00,44.84,38.58,4.33,0.6,-0.754,0.343,,
43,Luis Valbuena,Cubs,547.0,58.87,42.34,6.54,34.16,42.03,1.44,0.2,-0.754,0.342,,
44,Denard Span,Nationals,668.0,117.74,50.04,13.08,10.68,33.76,1.44,6.2,-2.639,0.341,,
45,Kole Calhoun,Angels,537.0,74.04,39.77,4.91,36.30,26.18,1.44,1,-1.131,0.341,,
46,Starlin Castro,Cubs,569.0,94.55,42.34,1.64,29.89,21.36,2.89,0.8,-1.508,0.341,,
47,Christian Yelich,Marlins,660.0,107.04,38.49,9.81,19.22,46.16,2.17,4.2,-2.639,0.341,,
48,Hunter Pence,Giants,708.0,107.93,37.21,16.35,42.70,33.76,2.17,2.6,-2.262,0.341,,
49,Adam Jones,Orioles,682.0,107.04,38.49,3.27,61.92,12.40,8.66,1.4,-0.377,0.34,,
50,Yan Gomes,Indians,518.0,76.71,32.08,4.91,44.84,14.47,2.17,0,0,0.34,,
51,Adam Eaton,White Sox,538.0,97.23,33.36,16.35,2.14,29.63,3.61,3,-3.393,0.34,,
52,Albert Pujols,Angels,695.0,94.55,47.47,1.64,59.78,25.49,3.61,1,-0.377,0.34,,
53,Ryan Braun,Brewers,580.0,76.71,38.49,9.81,40.57,26.18,4.33,2.2,-1.885,0.34,,
54,Lonnie Chisenhall,Indians,533.0,81.17,37.21,1.64,27.76,24.80,5.78,0.6,-0.377,0.34,,
55,Brian Dozier,Twins,707.0,78.50,42.34,1.64,49.11,60.63,6.50,4.2,-2.639,0.34,,
56,Brandon Moss,Athletics,580.0,59.76,29.51,3.27,53.38,41.34,7.22,0.2,0,0.339,,
57,Charlie Blackmon,Rockies,648.0,108.82,34.64,4.91,40.57,17.91,9.39,5.6,-3.77,0.339,,
58,Matt Carpenter,Cardinals,709.0,106.15,42.34,3.27,17.08,64.08,5.78,1,-1.131,0.339,,
59,Marcell Ozuna,Marlins,612.0,87.42,33.36,8.18,49.11,27.56,0.72,0.6,-0.377,0.338,,
60,Matt Adams,Cardinals,563.0,87.42,43.62,8.18,32.03,14.47,2.17,0.6,-0.754,0.337,,
61,Torii Hunter,Tigers,586.0,93.66,42.34,3.27,36.30,15.85,5.05,0.8,-1.131,0.335,,
62,Aramis Ramirez,Brewers,531.0,90.98,29.51,1.64,32.03,13.09,9.39,0.6,0,0.334,,
63,Adam Dunn,- - -,511.0,48.17,23.09,0.00,46.97,45.47,5.05,0.2,-0.377,0.334,,
64,Ben Zobrist,Rays,654.0,96.34,43.62,4.91,21.35,48.92,0.72,2,-1.885,0.333,,
65,Brett Gardner,Yankees,636.0,82.06,32.08,13.08,36.30,38.58,4.33,4.2,-1.885,0.331,,
66,Trevor Plouffe,Twins,582.0,69.58,51.32,3.27,29.89,35.14,2.89,0.4,-0.377,0.331,,
67,Khris Davis,Brewers,549.0,54.41,47.47,3.27,46.97,22.05,7.22,0.8,-0.377,0.33,,
68,Conor Gillaspie,White Sox,506.0,78.50,39.77,8.18,14.95,22.05,2.17,0,-1.508,0.33,,
69,Marlon Byrd,Phillies,637.0,90.09,35.92,3.27,53.38,19.29,5.78,0.6,-0.754,0.33,,
70,Jason Heyward,Braves,649.0,102.58,33.36,4.91,23.49,44.10,4.33,4,-1.508,0.329,,
71,Ian Desmond,Nationals,648.0,87.42,33.36,4.91,51.24,31.69,4.33,4.8,-1.885,0.329,,
72,Howie Kendrick,Angels,674.0,121.31,42.34,8.18,14.95,27.56,2.89,2.8,-1.885,0.328,,
73,Jacoby Ellsbury,Yankees,635.0,96.34,34.64,8.18,34.16,30.32,2.17,7.8,-1.885,0.327,,
74,Yoenis Cespedes,- - -,645.0,82.06,46.19,9.81,46.97,22.05,2.17,1.4,-0.754,0.326,,
75,Nick Markakis,Orioles,710.0,120.42,34.64,1.64,29.89,39.96,2.89,0.8,-0.754,0.325,,
76,Chase Utley,Phillies,664.0,94.55,46.19,9.81,23.49,28.25,9.39,2,-0.377,0.325,,
77,Kurt Suzuki,Twins,503.0,82.96,43.62,0.00,6.41,23.43,6.50,0,-0.377,0.324,,
78,Martin Prado,- - -,573.0,97.23,33.36,6.54,25.62,17.91,5.05,0.6,-0.377,0.324,,
79,Daniel Murphy,Mets,642.0,110.61,47.47,3.27,19.22,24.80,1.44,2.6,-1.885,0.324,,
80,Pablo Sandoval,Giants,638.0,106.15,33.36,4.91,34.16,22.74,2.89,0,0,0.323,,
81,Joe Mauer,Twins,518.0,82.96,34.64,3.27,8.54,33.07,0.72,0.6,0,0.322,,
82,Shin-Soo Choo,Rangers,529.0,68.68,24.38,1.64,27.76,37.90,8.66,0.6,-1.508,0.321,,
83,Jose Reyes,Blue Jays,655.0,115.07,42.34,6.54,19.22,25.49,0.72,6,-0.754,0.321,,
84,Curtis Granderson,Mets,654.0,70.47,34.64,3.27,42.70,53.74,4.33,1.6,-0.754,0.32,,
85,Nori Aoki,Royals,549.0,99.01,28.23,9.81,2.14,29.63,4.33,3.4,-3.016,0.32,,
86,Jimmy Rollins,Phillies,609.0,78.50,28.23,6.54,36.30,42.72,0.72,5.6,-2.262,0.319,,
87,Casey McGehee,Marlins,691.0,127.56,37.21,1.64,8.54,44.10,0.72,0.8,-0.754,0.319,,
88,Ian Kinsler,Tigers,726.0,113.28,51.32,6.54,36.30,19.29,3.61,3,-1.508,0.319,,
89,James Loney,Rays,651.0,123.10,34.64,0.00,19.22,26.87,2.89,0.8,0,0.318,,
90,Dustin Pedroia,Red Sox,609.0,100.80,42.34,0.00,14.95,34.45,0.72,1.2,-2.262,0.318,,
91,Yangervis Solarte,- - -,535.0,82.06,24.38,1.64,21.35,35.83,2.89,0,-0.377,0.317,,
92,Mark Teixeira,Yankees,508.0,52.63,17.96,0.00,46.97,37.90,4.33,0.2,-0.377,0.316,,
93,Evan Longoria,Rays,700.0,97.23,33.36,1.64,46.97,31.69,6.50,1,0,0.316,,
94,Garrett Jones,Marlins,547.0,64.22,42.34,3.27,32.03,28.94,0.72,0,-0.377,0.316,,
95,Chase Headley,- - -,531.0,71.36,25.66,1.64,27.76,34.45,6.50,1.4,-1.131,0.316,,
96,Dioner Navarro,Blue Jays,520.0,87.42,28.23,0.00,25.62,21.36,0.72,0.6,0,0.315,,
97,Alexei Ramirez,White Sox,657.0,105.26,44.91,3.27,32.03,16.54,4.33,4.2,-1.508,0.314,,
98,Coco Crisp,Athletics,536.0,72.25,26.94,4.91,19.22,44.10,0.00,3.8,-1.885,0.314,,
99,David Freese,Angels,511.0,74.93,32.08,1.64,21.35,26.18,4.33,0.2,-1.131,0.314,,
100,Eric Hosmer,Royals,547.0,81.17,44.91,1.64,19.22,21.36,2.17,0.8,-0.754,0.314,,
101,Desmond Jennings,Rays,542.0,66.90,38.49,3.27,21.35,32.38,4.33,3,-2.262,0.313,,
102,Dee Gordon,Dodgers,650.0,123.10,30.79,19.62,4.27,21.36,2.89,12.8,-7.163,0.312,,
103,Billy Butler,Royals,603.0,96.34,41.06,0.00,19.22,26.18,3.61,0,0,0.311,,
104,Alejandro De Aza,- - -,528.0,71.36,30.79,13.08,17.08,25.49,4.33,3.4,-3.77,0.31,,
105,Brandon Crawford,Giants,564.0,72.25,25.66,16.35,21.35,33.76,1.44,1,-1.131,0.309,,
106,Alex Rios,Rangers,521.0,85.63,38.49,13.08,8.54,13.78,0.72,3.4,-3.393,0.309,,
107,David Wright,Mets,586.0,93.66,38.49,1.64,17.08,25.49,2.89,1.6,-1.885,0.308,,
108,Chris Davis,Orioles,525.0,41.03,20.53,0.00,55.51,35.14,6.50,0.4,-0.377,0.308,,
109,Erick Aybar,Angels,641.0,109.72,38.49,6.54,14.95,22.05,3.61,3.2,-3.393,0.308,,
110,Asdrubal Cabrera,- - -,616.0,74.93,39.77,6.54,29.89,32.38,5.05,2,-0.754,0.308,,
111,Miguel Montero,Diamondbacks,560.0,74.04,29.51,0.00,27.76,31.01,6.50,0,-1.508,0.307,,
112,Nick Castellanos,Tigers,579.0,82.06,39.77,6.54,23.49,22.74,2.17,0.4,-0.754,0.307,,
113,Alcides Escobar,Royals,620.0,109.72,43.62,8.18,6.41,15.16,4.33,6.2,-2.262,0.307,,
114,Leonys Martin,Rangers,583.0,106.15,16.68,11.45,14.95,24.80,1.44,6.2,-4.524,0.306,,
115,Ryan Howard,Phillies,648.0,75.82,23.09,1.64,49.11,41.34,5.05,0,0,0.306,,
116,Brian McCann,Yankees,538.0,67.79,19.25,1.64,49.11,21.36,5.05,0,0,0.306,,
